Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.30000000	0.00000000
0.00100000	0.29999944	-0.00111712
0.00200000	0.29999777	-0.00223423
0.00300000	0.29999497	-0.00335133
0.00400000	0.29999106	-0.00446842
0.00500000	0.29998604	-0.00558550
0.00600000	0.29997989	-0.00670255
0.00700000	0.29997263	-0.00781958
0.00800000	0.29996425	-0.00893658
0.00900000	0.29995476	-0.01005355
0.01000000	0.29994415	-0.01117049
0.01100000	0.29993242	-0.01228738
0.01200000	0.29991957	-0.01340423
0.01300000	0.29990561	-0.01452103
0.01400000	0.29989053	-0.01563778
0.01500000	0.29987433	-0.01675447
0.01600000	0.29985702	-0.01787110
0.01700000	0.29983859	-0.01898767
0.01800000	0.29981904	-0.02010416
0.01900000	0.29979838	-0.02122059
0.02000000	0.29977660	-0.02233694
0.02100000	0.29975371	-0.02345321
0.02200000	0.29972970	-0.02456939
0.02300000	0.29970457	-0.02568548
0.02400000	0.29967833	-0.02680149
0.02500000	0.29965097	-0.02791739
0.02600000	0.29962249	-0.02903320
0.02700000	0.29959290	-0.03014890
0.02800000	0.29956219	-0.03126449
0.02900000	0.29953037	-0.03237996
0.03000000	0.29949743	-0.03349532
0.03100000	0.29946338	-0.03461056
0.03200000	0.29942821	-0.03572568
0.03300000	0.29939193	-0.03684066
0.03400000	0.29935453	-0.03795552
0.03500000	0.29931602	-0.03907023
0.03600000	0.29927639	-0.04018481
0.03700000	0.29923565	-0.04129924
0.03800000	0.29919379	-0.04241352
0.03900000	0.29915082	-0.04352764
0.04000000	0.29910674	-0.04464161
0.04100000	0.29906154	-0.04575542
0.04200000	0.29901523	-0.04686906
0.04300000	0.29896780	-0.04798254
0.04400000	0.29891926	-0.04909584
0.04500000	0.29886961	-0.05020896
0.04600000	0.29881884	-0.05132190
0.04700000	0.29876697	-0.05243466
0.04800000	0.29871398	-0.05354722
0.04900000	0.29865987	-0.05465960
0.05000000	0.29860466	-0.05577177
0.05100000	0.29854833	-0.05688375
0.05200000	0.29849089	-0.05799552
0.05300000	0.29843234	-0.05910708
0.05400000	0.29837267	-0.06021842
0.05500000	0.29831190	-0.06132955
0.05600000	0.29825002	-0.06244046
0.05700000	0.29818702	-0.06355114
0.05800000	0.29812291	-0.06466159
0.05900000	0.29805770	-0.06577181
0.06000000	0.29799137	-0.06688179
0.06100000	0.29792393	-0.06799152
0.06200000	0.29785539	-0.06910102
0.06300000	0.29778573	-0.07021026
0.06400000	0.29771497	-0.07131925
0.06500000	0.29764309	-0.07242798
0.06600000	0.29757011	-0.07353645
0.06700000	0.29749602	-0.07464465
0.06800000	0.29742082	-0.07575259
0.06900000	0.29734452	-0.07686025
0.07000000	0.29726710	-0.07796763
0.07100000	0.29718858	-0.07907473
0.07200000	0.29710895	-0.08018155
0.07300000	0.29702822	-0.08128807
0.07400000	0.29694638	-0.08239430
0.07500000	0.29686343	-0.08350024
0.07600000	0.29677938	-0.08460587
0.07700000	0.29669422	-0.08571119
0.07800000	0.29660795	-0.08681621
0.07900000	0.29652058	-0.08792091
0.08000000	0.29643211	-0.08902530
0.08100000	0.29634253	-0.09012936
0.08200000	0.29625185	-0.09123309
0.08300000	0.29616007	-0.09233650
0.08400000	0.29606718	-0.09343957
0.08500000	0.29597319	-0.09454231
0.08600000	0.29587810	-0.09564470
0.08700000	0.29578190	-0.09674675
0.08800000	0.29568460	-0.09784845
0.08900000	0.29558620	-0.09894979
0.09000000	0.29548670	-0.10005078
0.09100000	0.29538610	-0.10115140
0.09200000	0.29528440	-0.10225166
0.09300000	0.29518160	-0.10335155
0.09400000	0.29507770	-0.10445106
0.09500000	0.29497270	-0.10555020
0.09600000	0.29486660	-0.10664895
0.09700000	0.29475940	-0.10774732
0.09800000	0.29465110	-0.10884530
0.09900000	0.29454171	-0.10994289
0.10000000	0.29443122	-0.11104008
0.10100000	0.29431963	-0.11213686
0.10200000	0.29420694	-0.11323324
0.10300000	0.29409316	-0.11432921
0.10400000	0.29397829	-0.11542477
0.10500000	0.29386231	-0.11651991
0.10600000	0.29374525	-0.11761463
0.10700000	0.29362708	-0.11870892
0.10800000	0.29350783	-0.11980279
0.10900000	0.29338748	-0.12089622
0.11000000	0.29326604	-0.12198921
0.11100000	0.29314350	-0.12308176
0.11200000	0.29301987	-0.12417386
0.11300000	0.29289515	-0.12526552
0.11400000	0.29276934	-0.12635672
0.11500000	0.29264244	-0.12744747
0.11600000	0.29251445	-0.12853775
0.11700000	0.29238536	-0.12962757
0.11800000	0.29225519	-0.13071692
0.11900000	0.29212393	-0.13180580
0.12000000	0.29199158	-0.13289419
0.12100000	0.29185814	-0.13398211
0.12200000	0.29172362	-0.13506955
0.12300000	0.29158800	-0.13615649
0.12400000	0.29145130	-0.13724294
0.12500000	0.29131352	-0.13832890
0.12600000	0.29117465	-0.13941435
0.12700000	0.29103469	-0.14049930
0.12800000	0.29089365	-0.14158374
0.12900000	0.29075152	-0.14266766
0.13000000	0.29060831	-0.14375107
0.13100000	0.29046402	-0.14483396
0.13200000	0.29031865	-0.14591633
0.13300000	0.29017219	-0.14699817
0.13400000	0.29002465	-0.14807947
0.13500000	0.28987603	-0.14916024
0.13600000	0.28972633	-0.15024046
0.13700000	0.28957555	-0.15132015
0.13800000	0.28942369	-0.15239928
0.13900000	0.28927075	-0.15347787
0.14000000	0.28911673	-0.15455589
0.14100000	0.28896164	-0.15563336
0.14200000	0.28880547	-0.15671026
0.14300000	0.28864822	-0.15778660
0.14400000	0.28848989	-0.15886236
0.14500000	0.28833049	-0.15993755
0.14600000	0.28817002	-0.16101216
0.14700000	0.28800847	-0.16208618
0.14800000	0.28784585	-0.16315962
0.14900000	0.28768215	-0.16423246
0.15000000	0.28751738	-0.16530471
0.15100000	0.28735154	-0.16637636
0.15200000	0.28718463	-0.16744741
0.15300000	0.28701665	-0.16851785
0.15400000	0.28684760	-0.16958768
0.15500000	0.28667747	-0.17065690
0.15600000	0.28650628	-0.17172549
0.15700000	0.28633402	-0.17279346
0.15800000	0.28616070	-0.17386081
0.15900000	0.28598630	-0.17492753
0.16000000	0.28581084	-0.17599361
0.16100000	0.28563431	-0.17705905
0.16200000	0.28545672	-0.17812385
0.16300000	0.28527807	-0.17918801
0.16400000	0.28509835	-0.18025152
0.16500000	0.28491756	-0.18131437
0.16600000	0.28473572	-0.18237656
0.16700000	0.28455281	-0.18343809
0.16800000	0.28436884	-0.18449896
0.16900000	0.28418381	-0.18555916
0.17000000	0.28399772	-0.18661868
0.17100000	0.28381058	-0.18767753
